Arc,Start onChapter,TotalChapters,TotalPages,Manga%,Start onEpisode,TotalEpisodes,TotalMinutes(avg 24),Anime%,BigThree
Romance Dawn Arc,1.0,7,178,0.9%,1,3,72,0.3%,One Piece
Orange Town Arc,8.0,14,273,1.4%,4,5,120,0.5%,One Piece
Syrup Village Arc,22.0,20,396,2.0%,9,10,240,1.0%,One Piece
Baratie Arc,42.0,27,514,2.6%,19,12,288,1.2%,One Piece
Arlong Park Arc,69.0,27,514,2.6%,31,15,360,1.5%,One Piece
Buggy Side Story Arc,0.0,0,0,0.0%,46,2,48,0.2%,One Piece
Loguetown Arc,96.0,5,100,0.5%,48,6,144,0.6%,One Piece
Warship Island Arc,0.0,0,0,0.0%,54,8,192,0.8%,One Piece
Reverse Mountain Arc,101.0,5,96,0.5%,62,2,48,0.2%,One Piece
Whiskey Peak Arc,106.0,9,169,0.9%,64,4,96,0.4%,One Piece
Koby and Helmeppo Arc,0.0,0,0,0.0%,68,2,48,0.2%,One Piece
Little Garden Arc,115.0,15,288,1.5%,70,8,192,0.8%,One Piece
Drum Island Arc,130.0,25,477,2.5%,78,14,336,1.4%,One Piece
Alabasta Arc,155.0,63,1199,6.2%,92,39,936,3.8%,One Piece
Post-Alabasta Arc,0.0,0,0,0.0%,131,5,120,0.5%,One Piece
Goat Island Arc,0.0,0,0,0.0%,136,3,72,0.3%,One Piece
Ruluka Island Arc,0.0,0,0,0.0%,139,5,120,0.5%,One Piece
Jaya Arc,218.0,19,361,1.9%,144,9,216,0.9%,One Piece
Skypiea Arc,237.0,66,1242,6.4%,153,43,1032,4.2%,One Piece
G-8 Arc,0.0,0,0,0.0%,196,11,264,1.1%,One Piece
Long Ring Long Land Arc,303.0,19,365,1.9%,207,15,360,1.5%,One Piece
Ocean's Dream Arc,0.0,0,0,0.0%,220,5,120,0.5%,One Piece
Foxy's Return Arc,0.0,0,0,0.0%,225,2,48,0.2%,One Piece
Water 7 Arc,322.0,53,1009,5.2%,229,35,840,3.4%,One Piece
Enies Lobby Arc,375.0,56,1060,5.4%,264,49,1176,4.8%,One Piece
Post-Enies Lobby Arc,431.0,11,209,1.1%,313,13,312,1.3%,One Piece
Ice Hunter Arc,0.0,0,0,0.0%,326,11,264,1.1%,One Piece
Thriller Bark Arc,442.0,48,912,4.7%,337,45,1080,4.4%,One Piece
Spa Island Arc,0.0,0,0,0.0%,382,3,72,0.3%,One Piece
Sabaody Archipelago Arc,490.0,24,456,2.3%,385,21,504,2.0%,One Piece
Special Historical Arc,0.0,0,0,0.0%,406,2,48,0.2%,One Piece
Amazon Lily Arc,514.0,11,209,1.1%,408,14,336,1.4%,One Piece
Impel Down Arc,525.0,25,473,2.4%,422,31,744,3.0%,One Piece
Little East Blue Arc,0.0,0,0,0.0%,426,4,96,0.4%,One Piece
Marineford Arc,550.0,31,529,2.7%,457,33,792,3.2%,One Piece
Post-War Arc,581.0,17,317,1.6%,490,27,648,2.6%,One Piece
Return to Sabaody Arc,598.0,5,98,0.5%,517,6,144,0.6%,One Piece
Fishman Island Arc,603.0,51,933,4.8%,523,52,1248,5.1%,One Piece
Z's Ambition Arc,0.0,0,0,0.0%,575,4,96,0.4%,One Piece
Punk Hazard Arc,654.0,46,856,4.4%,579,47,1128,4.6%,One Piece
Caesar Retrieval Arc,0.0,0,0,0.0%,626,3,72,0.3%,One Piece
Dressrosa Arc,700.0,102,1830,9.4%,629,118,2832,11.5%,One Piece
Silver Mine Arc,0.0,0,0,0.0%,747,4,96,0.4%,One Piece
Zou Arc,802.0,23,397,2.0%,751,29,696,2.8%,One Piece
Marine Rookie Arc,0.0,0,0,0.0%,780,3,72,0.3%,One Piece
Whole Cake Island Arc,825.0,78,1349,6.9%,783,95,2280,9.2%,One Piece
Levely Arc,903.0,6,100,0.5%,878,12,288,1.2%,One Piece
Wano Country Arc: Act 1,909.0,16,278,1.4%,890,26,624,2.5%,One Piece
Cidre Guild Arc,0.0,0,0,0.0%,895,2,48,0.2%,One Piece
Wano Country Arc: Act 2,925.0,33,560,2.9%,918,41,984,4.0%,One Piece
Wano Country Arc: Act 3,958.0,99,1709,8.8%,959,70,1680,6.8%,One Piece
Prologue — Land of Waves Arc,1.0,33,627,4.6%,1,19,456,2.6%,Naruto
Chūnin Exams Arc,34.0,82,1558,11.5%,20,48,1152,6.7%,Naruto
Konoha Crush Arc,116.0,23,437,3.2%,68,13,312,1.8%,Naruto
Search for Tsunade Arc,139.0,33,627,4.6%,81,20,480,2.8%,Naruto
Land of Tea Escort Mission Arc,0.0,0,0,0.0%,101,6,144,0.8%,Naruto
Sasuke Recovery Mission Arc,172.0,67,1273,9.4%,107,29,696,4.0%,Naruto
Filler Arcs Arc,0.0,0,0,0.0%,136,85,2040,11.8%,Naruto
Kakashi Gaiden Arc,239.0,6,114,0.8%,0,0,0,0.0%,Naruto
Special,700.0,1,19,0.1%,119,17,408,2.4%,Naruto
Kazekage Rescue Mission Arc,245.0,37,703,5.2%,1,32,768,4.4%,Naruto
Tenchi Bridge Reconnaissance Mission Arc,282.0,29,551,4.1%,33,21,504,2.9%,Naruto
Twelve Guardian Ninja Arc,0.0,0,0,0.0%,54,18,432,2.5%,Naruto
Akatsuki Suppression Mission Arc,311.0,32,608,4.5%,72,17,408,2.4%,Naruto
Three-Tails' Appearance Arc,0.0,0,0,0.0%,89,24,576,3.3%,Naruto
Itachi Pursuit Mission Arc,343.0,25,475,3.5%,113,12,288,1.7%,Naruto
Tale of Jiraiya the Gallant Arc,368.0,16,304,2.3%,127,7,168,1.0%,Naruto
Fated Battle Between Brothers Arc,384.0,29,551,4.1%,134,10,240,1.4%,Naruto
Six-Tails Unleashed Arc,0.0,0,0,0.0%,144,8,192,1.1%,Naruto
Pain's Assault Arc,413.0,41,779,5.8%,152,22,528,3.1%,Naruto
Past Arc: The Locus of Konoha Arc,0.0,0,0,0.0%,176,21,504,2.9%,Naruto
Five Kage Summit Arc,454.0,30,570,4.2%,197,18,432,2.5%,Naruto
Fourth Shinobi World War: Countdown Arc,484.0,32,608,4.5%,215,22,528,3.1%,Naruto
Paradise Life on a Boat Arc,0.0,0,0,0.0%,223,20,480,2.8%,Naruto
Fourth Shinobi World War: Confrontation Arc,516.0,44,836,6.2%,261,53,1272,7.4%,Naruto
Power Arc,0.0,0,0,0.0%,290,6,144,0.8%,Naruto
Fourth Shinobi World War: Climax Arc,560.0,80,1520,11.3%,322,41,984,5.7%,Naruto
Kakashi's Anbu Arc: The Shinobi That Lives in the Darkness Arc,0.0,0,0,0.0%,349,13,312,1.8%,Naruto
Birth of the Ten-Tails' Jinchūriki Arc,640.0,38,722,5.4%,378,30,720,4.2%,Naruto
In Naruto's Footsteps: The Friends' Paths Arc,0.0,0,0,0.0%,394,20,480,2.8%,Naruto
Jiraiya Shinobi Handbook: The Tale of Naruto the Hero Arc,0.0,0,0,0.0%,432,19,456,2.6%,Naruto
Kaguya Ōtsutsuki Strikes Arc,678.0,22,418,3.1%,451,23,552,3.2%,Naruto
Itachi Shinden Book: Light and Darkness Arc,0.0,0,0,0.0%,452,5,120,0.7%,Naruto
Childhood Arc,0.0,0,0,0.0%,480,4,96,0.6%,Naruto
Sasuke Shinden: Book of Sunrise Arc,0.0,0,0,0.0%,484,5,120,0.7%,Naruto
Shikamaru Hiden: A Cloud Drifting in Silent Darkness Arc,0.0,0,0,0.0%,489,5,120,0.7%,Naruto
Konoha Hiden: The Perfect Day for a Wedding Arc,0.0,0,0,0.0%,494,7,168,1.0%,Naruto
The Seventh Hokage and the Scarlet Spring Arc,700.1,10,190,1.4%,0,0,0,0.0%,Naruto
Agent of the Shinigami Arc,1.0,70,1330,9.9%,1,20,480,5.5%,Bleach
Soul Society: The Sneak Entry Arc,71.0,49,931,6.9%,21,21,504,5.7%,Bleach
Soul Society: The Rescue Arc,118.0,68,1292,9.6%,42,22,528,6.0%,Bleach
The Bount Arc,0.0,0,0,0.0%,64,28,672,7.7%,Bleach
Bount Assault on Soul Society Arc,0.0,0,0,0.0%,92,18,432,4.9%,Bleach
Arrancar: The Arrival Arc,184.0,49,931,6.9%,110,22,528,6.0%,Bleach
Arrancar: The Hueco Mundo Sneak Entry Arc,230.0,22,418,3.1%,132,20,480,5.5%,Bleach
Arrancar: The Fierce Fight Arc,252.0,36,684,5.1%,152,16,384,4.4%,Bleach
The New Captain Shūsuke Amagai Arc,0.0,0,0,0.0%,168,22,528,6.0%,Bleach
Arrancar vs. Shinigami Arc,287.0,30,570,4.2%,190,16,384,4.4%,Bleach
The Past Arc,0.0,12,228,1.7%,206,7,168,1.9%,Bleach
Arrancar: Decisive Battle of Karakura Arc,316.0,25,475,3.5%,213,17,408,4.6%,Bleach
Zanpakutō Unknown Tales Arc,0.0,0,0,0.0%,230,36,864,9.8%,Bleach
Arrancar: Downfall Arc,341.0,83,1577,11.7%,266,51,1224,13.9%,Bleach
Gotei 13 Invading Army Arc,0.0,0,0,0.0%,317,26,624,7.1%,Bleach
The Lost Substitute Shinigami Arc,424.0,56,1064,7.9%,343,24,576,6.6%,Bleach
"The 1,000 Year Blood War Arc",480.0,208,3952,29.4%,0,0,0,0.0%,Bleach
